ID Year weak_two_nv_1st
deal_1123 1959 NA
deal_1124 1959 NA
deal_1125 1959 NA
deal_1126 1959 NA
deal_1127 1959 NA
deal_1128 1959 NA
deal_1129 1959 NA
deal_1130 1959 NA
deal_1131 1959 NA
deal_1132 1959 NA
deal_1133 1959 NA
deal_1134 1959 NA
deal_1135 1959 NA
deal_1136 1959 NA
deal_1137 1959 NA
deal_1138 1959 NA
deal_1139 1959 NA
deal_1140 1959 NA
deal_1141 1959 NA
deal_1142 1959 NA
deal_1143 1959 NA
deal_1144 1959 NA
deal_1145 1959 NA
deal_1146 1959 NA
deal_1147 1959 NA
deal_1148 1959 NA
deal_1149 1959 NA
deal_1150 1959 NA
deal_1151 1959 NA
deal_1152 1959 NA
deal_1153 1959 NA
deal_1154 1959 NA
deal_1155 1959 NA
deal_1156 1959 NA
deal_1157 1959 NA
deal_1158 1959 NA
deal_1159 1959 NA
deal_1160 1959 NA
deal_1161 1959 NA
deal_1162 1959 NA
deal_1163 1959 NA
deal_1164 1959 NA
deal_1165 1959 NA
deal_1166 1959 NA
deal_1167 1959 NA
deal_1168 1959 NA
deal_1169 1959 NA
deal_1170 1959 NA
deal_1171 1959 NA
deal_1172 1959 NA
deal_1173 1959 NA
deal_1174 1959 NA
deal_1175 1959 NA
deal_1176 1959 NA
deal_1177 1959 NA
deal_1178 1959 NA
deal_1179 1959 NA
deal_1180 1959 NA
deal_1181 1959 NA
deal_1182 1959 NA
deal_1183 1959 NA
deal_1184 1959 0
deal_1185 1959 0
deal_1186 1959 NA
deal_1187 1959 NA
deal_1188 1959 NA
deal_1189 1959 NA
deal_1190 1959 NA
deal_1191 1959 NA
deal_1192 1959 NA
deal_1193 1959 NA
deal_1194 1959 NA
deal_1195 1959 NA
deal_1196 1959 NA
deal_1197 1959 NA
deal_1198 1959 NA
deal_1199 1959 NA
deal_1200 1959 NA
deal_1201 1959 NA
deal_1202 1959 NA
deal_1203 1959 NA
deal_1204 1959 0
deal_1205 1959 0
deal_1206 1959 NA
deal_1207 1959 NA
deal_1208 1962 NA
deal_1209 1962 NA
deal_1210 1962 NA
deal_1211 1962 NA
deal_1212 1962 NA
deal_1213 1962 NA
deal_1214 1962 NA
deal_1215 1962 NA
deal_1216 1962 NA
deal_1217 1962 NA
deal_1218 1962 NA
deal_1219 1962 NA
deal_1220 1962 NA
deal_1221 1962 NA
deal_1222 1962 NA
deal_1223 1962 NA
deal_1224 1962 NA
deal_1225 1962 NA
deal_1226 1962 NA
deal_1227 1962 NA
deal_1228 1962 0
deal_1229 1962 0
deal_1230 1962 NA
deal_1231 1962 NA
deal_1232 1962 NA
deal_1233 1962 NA
deal_1234 1962 NA
deal_1235 1962 NA
deal_1236 1962 NA
deal_1237 1962 NA
deal_1238 1962 NA
deal_1239 1962 NA
deal_1240 1962 NA
deal_1241 1962 NA
deal_1242 1962 NA
deal_1243 1962 NA
deal_1244 1962 NA
deal_1245 1962 NA
deal_1246 1962 NA
